Chat Session,Message Date,Delivered Date,Read Date,Service,Type,Sender ID,Sender Name,Status,Subject,Text,Attachment,Attachment type
🍍Pinnacle Crew Jobs 🔨💰,2020-03-04 10:01:19,,2020-03-04 10:01:34,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Hi Arkadius, please confirm your address for me so that we can send you uniform, i have 21 Lantern Place, HA02JT. Please can you get back to me as soon as you can on this, thanks buddy",,
🍍Pinnacle Crew Jobs 🔨💰,2020-03-04 10:02:25,,,SMS,Outgoing,,,Sent,,Its 21 Lantern Close HA0 2JT wembley,,
🍍Pinnacle Crew Jobs 🔨💰,2020-03-04 10:06:29,,2020-03-04 10:16:01,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,thanks Buddy,,
🍍Pinnacle Crew Jobs 🔨💰,2020-03-11 14:36:26,,,SMS,Outgoing,,,Sent,,"Hi. Could you tell me when I shoud recive the uniform and when I will start the job ? , Thank you ",,
🍍Pinnacle Crew Jobs 🔨💰,2020-03-11 15:08:04,,2020-03-11 15:17:46,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Hi Arkadius, it is a bit quiet at the moment and events industry is being very careful with what's going around in the world right now. We shall do our best to try and send you job if we can.",,
🍍Pinnacle Crew Jobs 🔨💰,2020-03-11 15:20:20,,,SMS,Outgoing,,,Sent,,I understand that but If I will find something else I will have to refuse this job. Sorry but my circumstances does not let me wait so long. ,,
🍍Pinnacle Crew Jobs 🔨💰,2020-03-11 15:23:29,,2020-03-11 15:23:42,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Hi, we can still send you uniform but cannot guarantee the number of hours you receive.",,
🍍Pinnacle Crew Jobs 🔨💰,2020-03-11 15:25:18,,,SMS,Outgoing,,,Sent,,I need to earn around £700 to cover my bills and i will be satisfied,,
🍍Pinnacle Crew Jobs 🔨💰,2020-03-11 15:25:26,,,SMS,Outgoing,,,Sent,,monthly*,,
🍍Pinnacle Crew Jobs 🔨💰,2020-03-11 16:09:58,,2020-03-11 16:10:20,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Hi Arkadius, this cannot be guaranteed during the quiet period unfortunately. We try and spread the hours equally with our crew. It will pick up April, May period though and more hours can be given then.",,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 13:35:18,,2020-08-24 13:35:30,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Good Afternoon Eugene here from Pinnacle Crew, are you avalible for some work this week? ",,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 13:35:59,,,SMS,Outgoing,,,Sent,,"My name is Arkadiusz, but yeah I can work ",,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 13:39:33,,,SMS,Outgoing,,,Sent,,I have not work yet for you I had just the interview before pandemic. I am available whenever you want. Thank you ,,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 13:48:08,,,SMS,Outgoing,,,Sent,,yeah I am free,,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 13:57:30,,2020-08-24 13:57:36,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"great do you have Pinnacle tee shirts, high viz and face masks?",,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 13:57:45,,,SMS,Outgoing,,,Sent,,nothing at all,,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 13:57:58,,,SMS,Outgoing,,,Sent,,unfortunatelly,,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 14:09:18,,2020-08-24 14:09:21,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,ok give us your address and we will send now and your size. Do you have steel toe caps and a face mask?,,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 14:12:43,,,SMS,Outgoing,,,Sent,,"21 Lantern Close HA0 2JT, Do you mean safety boot - I ve got",,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 14:15:38,,2020-08-24 14:15:41,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Yes perfect, we are sending you shirts hi viz hard hat gloves and glasses ",,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-24 14:16:11,,,SMS,Outgoing,,,Sent,,size medium please. Thank you,,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-25 10:41:31,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-26 06:39:52,,,SMS,Outgoing,,,Sent,,Hi. What if that I did not get the package with the stuff,,
🍍Pinnacle Crew Jobs 🔨💰,2020-08-26 12:39:48,,,SMS,Outgoing,,,Sent,,Is there will be any job for me tommorow ?,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-02 14:54:19,,,SMS,Outgoing,,,Sent,,if any job is there pls let me know,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-02 14:57:44,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-03 12:26:04,,,SMS,Outgoing,,,Sent,,any job for tommorow ? ,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-03 12:37:05,,2020-09-03 12:37:08,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,just waiting to see Sat there is back at S2 - ok for you?,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-03 12:37:31,,,SMS,Outgoing,,,Sent,,yeah ,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-03 12:37:37,,,SMS,Outgoing,,,Sent,,cool,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-03 12:59:39,,,SMS,Outgoing,,,Sent,,ok,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-07 12:55:21,,,SMS,Outgoing,,,Sent,,any job ?,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-07 13:05:23,,2020-09-07 13:05:52,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,not yet will keep you posted,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-10 17:00:26,,,SMS,Outgoing,,,Sent,,will be any job ?,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-10 17:18:19,,2020-09-10 17:18:31,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Hay  buddy it's gone a little quiet again but we will keep you updated ,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-17 17:01:45,,,SMS,Outgoing,,,Sent,,any job ?,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-17 18:23:47,,2020-09-17 18:32:28,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Sorry man, it's a little quiet at the moment, will keep you updated ",,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-21 18:17:27,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-25 16:04:17,,,SMS,Outgoing,,,Sent,,any job ?,,
🍍Pinnacle Crew Jobs 🔨💰,2020-09-25 16:17:52,,2020-09-25 22:26:55,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Hello There, sorry it is quiet at the moment ",,
🍍Pinnacle Crew Jobs 🔨💰,2020-10-02 11:53:54,,,SMS,Outgoing,,,Sent,,any job ?,,
🍍Pinnacle Crew Jobs 🔨💰,2020-10-27 11:44:01,,2020-10-27 11:46:52,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,oh ok thank you ,,
🍍Pinnacle Crew Jobs 🔨💰,2020-12-02 09:07:01,,,SMS,Outgoing,,,Sent,,"if there is any work let me know please. I am available on wednesdays fridays and weekdends. Thanks, Archie",,
🍍Pinnacle Crew Jobs 🔨💰,2020-12-02 10:18:02,,2020-12-02 13:47:06,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Thanks for letting us know Archie its getting busier now so we will keep you updated!,,
🍍Pinnacle Crew Jobs 🔨💰,2020-12-02 14:13:51,,,SMS,Outgoing,,,Sent,,No ,,
🍍Pinnacle Crew Jobs 🔨💰,2020-12-03 17:33:48,,2020-12-03 17:33:50,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,If you canhelp us out with this one please ,,
🍍Pinnacle Crew Jobs 🔨💰,2020-12-03 17:33:59,,,SMS,Outgoing,,,Sent,,OK ,,
🍍Pinnacle Crew Jobs 🔨💰,2020-12-03 17:34:25,,2020-12-03 17:34:35,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,amazing thanks man,,
🍍Pinnacle Crew Jobs 🔨💰,2020-12-04 13:59:40,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2020-12-04 14:15:07,,,SMS,Outgoing,,,Sent,,yeah sure ,,
🍍Pinnacle Crew Jobs 🔨💰,2020-12-04 14:15:09,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2021-02-18 15:02:58,,,SMS,Outgoing,,,Sent,,any job ?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-02-19 10:33:09,,2021-02-19 11:40:01,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Good Morning Arkdius, it is still a little quiet at the moment but lockdown should be ending soon and we will get back to you with work for ASAP",,
🍍Pinnacle Crew Jobs 🔨💰,2021-03-14 12:31:12,,2021-03-14 12:40:07,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Hello Arkadius are you avalible for some work tomorow? ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-03-14 12:39:52,,2021-03-14 12:40:07,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Sorry i meant some work this week coming up?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-03-14 12:40:26,,,SMS,Outgoing,,,Sent,,yeah I am avalible ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-03-14 13:19:58,,2021-03-14 13:20:05,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Great thanks things are starting to pick up so we will keep you updated ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-03-25 12:56:50,,,SMS,Outgoing,,,Sent,,yes,,
🍍Pinnacle Crew Jobs 🔨💰,2021-03-25 13:23:01,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-08 16:25:42,,,SMS,Outgoing,,,Sent,,what time ?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-08 16:28:03,,,SMS,Outgoing,,,Sent,,ok ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-08 16:29:45,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-08 16:30:09,,2021-04-08 16:30:09,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Thanks buddy ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-08 16:51:35,,,SMS,Outgoing,,,Sent,,Just me haha ok it will be fun. Thanks for job btw ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-08 17:20:02,,2021-04-08 17:20:11,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Yeah dont worry buddy nothing complicated just helping them move some stuff around, I've been there before ",,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-09 05:55:26,,,SMS,Outgoing,,,Sent,,CJA,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-09 06:22:00,,2021-04-09 06:22:09,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Thanks buddy ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-09 10:39:51,,2021-04-09 10:42:57,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,How is everything going man alright?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-09 10:43:06,,,SMS,Outgoing,,,Sent,,yeah all good ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-09 10:43:15,,,SMS,Outgoing,,,Sent,,easy job,,
